,Airline,Source,Destination,Duration,Total_Stops,Price,Day_of_Journey,Month_of_Journey,Dep_Hour,Dep_Minute,Arrival_Hour,Arrival_Minute
1705,Multiple carriers,Delhi,Cochin,455,1.0,6953,27,3,11,40,19,15
1706,IndiGo,Banglore,Delhi,175,0.0,4823,12,5,7,10,10,5
1707,IndiGo,Kolkata,Banglore,155,0.0,4174,9,4,4,40,7,15
1708,Jet Airways,Delhi,Cochin,1775,2.0,12819,27,6,13,25,19,0
1709,Jet Airways,Kolkata,Banglore,450,1.0,9663,15,5,21,10,4,40
1710,SpiceJet,Kolkata,Banglore,155,0.0,3841,3,5,6,55,9,30
1711,IndiGo,Delhi,Cochin,195,0.0,5000,27,6,5,35,8,50
1712,Air India,Banglore,New Delhi,980,2.0,13366,1,3,5,50,22,10
1713,Vistara,Mumbai,Hyderabad,1130,1.0,12395,6,3,21,55,16,45
1714,Air India,Kolkata,Banglore,1700,1.0,7452,15,5,16,45,21,5
1715,Jet Airways,Delhi,Cochin,1395,1.0,15554,18,5,19,45,19,0
1716,Jet Airways,Kolkata,Banglore,1325,1.0,13067,6,5,17,0,15,5
1717,IndiGo,Kolkata,Banglore,155,0.0,6565,1,3,15,10,17,45
1718,SpiceJet,Mumbai,Hyderabad,90,0.0,1965,24,5,5,45,7,15
1719,SpiceJet,Chennai,Kolkata,155,0.0,3332,27,3,9,30,12,5
1720,IndiGo,Banglore,New Delhi,285,1.0,6208,21,3,5,25,10,10
1721,Air India,Banglore,New Delhi,1730,1.0,11161,18,3,13,50,18,40
1722,Air India,Kolkata,Banglore,1665,2.0,12224,12,6,10,0,13,45
1723,Jet Airways,Kolkata,Banglore,1025,1.0,9663,1,5,18,55,12,0
1724,Jet Airways,Banglore,New Delhi,380,1.0,12284,18,3,8,55,15,15
1725,Air India,Delhi,Cochin,965,1.0,7480,27,5,17,20,9,25
1726,Jet Airways,Delhi,Cochin,550,1.0,17024,6,3,19,15,4,25
1727,Jet Airways,Kolkata,Banglore,1365,1.0,14151,6,6,20,25,19,10
1728,IndiGo,Kolkata,Banglore,155,0.0,4804,21,6,17,15,19,50
1729,IndiGo,Delhi,Cochin,300,1.0,6069,18,5,16,0,21,0
1730,Vistara,Banglore,New Delhi,915,1.0,6065,21,3,6,40,21,55
1731,Jet Airways,Kolkata,Banglore,800,1.0,14151,18,5,20,25,9,45
1732,Jet Airways,Kolkata,Banglore,1025,1.0,14231,24,3,18,55,12,0
1733,Vistara,Mumbai,Hyderabad,1065,1.0,12395,6,3,15,40,9,25
1734,IndiGo,Delhi,Cochin,325,1.0,5636,24,4,2,0,7,25
1735,Air India,Delhi,Cochin,320,1.0,5232,6,4,17,40,23,0
1736,Jet Airways,Delhi,Cochin,865,1.0,14714,1,6,14,0,4,25
1737,IndiGo,Chennai,Kolkata,140,0.0,3850,6,5,7,55,10,15
1738,Air India,Delhi,Cochin,955,1.0,7258,27,5,17,40,9,35
1739,Jet Airways,Banglore,New Delhi,1375,1.0,17471,6,3,21,25,20,20
1740,SpiceJet,Banglore,Delhi,175,0.0,4423,9,5,21,10,0,5
1741,IndiGo,Mumbai,Hyderabad,90,0.0,2227,18,6,21,20,22,50
1742,Multiple carriers,Delhi,Cochin,930,1.0,13377,24,6,10,0,1,30
1743,Jet Airways,Banglore,Delhi,180,0.0,8016,12,6,8,20,11,20
1744,Air India,Banglore,New Delhi,1560,1.0,5626,9,3,6,50,8,50
1745,IndiGo,Banglore,New Delhi,170,0.0,6860,21,3,16,55,19,45
1746,IndiGo,Delhi,Cochin,415,1.0,6628,1,6,18,35,1,30
1747,Jet Airways,Delhi,Cochin,1415,1.0,11627,6,6,13,0,12,35
1748,SpiceJet,Kolkata,Banglore,150,0.0,4174,9,6,17,10,19,40
1749,Jet Airways,Delhi,Cochin,610,1.0,14714,1,6,18,15,4,25
1750,Jet Airways,Kolkata,Banglore,690,1.0,14151,12,5,9,35,21,5
1751,Jet Airways,Delhi,Cochin,1620,1.0,12898,27,5,16,0,19,0
1752,Jet Airways,Delhi,Cochin,395,1.0,12373,18,5,21,50,4,25
1753,IndiGo,Banglore,Delhi,170,0.0,3943,18,6,10,10,13,0
1754,Air Asia,Kolkata,Banglore,500,2.0,7870,9,6,15,10,23,30
1755,Jet Airways,Banglore,Delhi,185,0.0,8016,18,6,18,55,22,0
1756,Air India,Delhi,Cochin,1220,2.0,10975,15,5,13,5,9,25
1757,IndiGo,Chennai,Kolkata,140,0.0,3850,27,5,7,55,10,15
1758,IndiGo,Kolkata,Banglore,165,0.0,4804,18,6,20,25,23,10
1759,Jet Airways,Delhi,Cochin,455,1.0,15554,9,3,20,50,4,25
1760,SpiceJet,Kolkata,Banglore,160,0.0,4465,18,3,6,55,9,35
1761,Jet Airways,Kolkata,Banglore,775,1.0,11841,9,6,21,10,10,5
1762,Multiple carriers,Delhi,Cochin,675,1.0,19332,9,3,8,0,19,15
1763,SpiceJet,Kolkata,Banglore,150,0.0,3841,21,6,17,10,19,40
1764,IndiGo,Banglore,Delhi,170,0.0,4591,12,4,10,10,13,0
1765,IndiGo,Kolkata,Banglore,290,1.0,5192,24,5,15,15,20,5
1766,Jet Airways,Delhi,Cochin,1100,1.0,10577,9,6,18,15,12,35
1767,Jet Airways,Delhi,Cochin,535,2.0,15129,18,5,19,30,4,25
1768,Multiple carriers,Delhi,Cochin,780,1.0,11789,6,6,6,0,19,0
1769,Air India,Delhi,Cochin,640,1.0,8372,15,6,21,0,7,40
1770,Multiple carriers,Delhi,Cochin,795,1.0,8266,9,5,6,0,19,15
1771,Jet Airways,Kolkata,Banglore,800,1.0,14781,6,5,6,30,19,50
1772,Vistara,Banglore,Delhi,155,0.0,5613,21,4,17,0,19,35
1773,Jet Airways,Banglore,Delhi,175,0.0,7229,24,4,15,15,18,10
1774,IndiGo,Delhi,Cochin,750,1.0,6093,24,6,8,30,21,0
1775,Jet Airways,Delhi,Cochin,425,2.0,15544,21,5,5,30,12,35
1776,GoAir,Delhi,Cochin,370,1.0,6296,18,5,7,25,13,35
1777,IndiGo,Kolkata,Banglore,165,0.0,4804,27,4,9,35,12,20
1778,Air Asia,Banglore,New Delhi,170,0.0,4284,18,3,5,50,8,40
1779,IndiGo,Delhi,Cochin,885,1.0,6558,21,3,7,35,22,20
1780,IndiGo,Delhi,Cochin,345,1.0,5775,24,6,21,50,3,35
1781,SpiceJet,Chennai,Kolkata,135,0.0,3543,21,6,8,20,10,35
1782,Jet Airways,Delhi,Cochin,535,1.0,17024,6,3,9,55,18,50
1783,Jet Airways,Mumbai,Hyderabad,85,0.0,4050,9,6,7,5,8,30
1784,Air India,Mumbai,Hyderabad,1995,2.0,14219,6,3,6,0,15,15
1785,Jet Airways,Banglore,New Delhi,405,1.0,26890,1,3,11,40,18,25
1786,Air India,Delhi,Cochin,1410,2.0,9653,15,6,19,45,19,15
1787,IndiGo,Banglore,Delhi,165,0.0,3943,21,6,6,5,8,50
1788,Jet Airways,Kolkata,Banglore,1575,1.0,10844,18,5,14,5,16,20
1789,Jet Airways,Kolkata,Banglore,450,1.0,8849,1,4,21,10,4,40
1790,IndiGo,Mumbai,Hyderabad,90,0.0,2754,12,6,1,40,3,10
1791,Air India,Delhi,Cochin,2185,2.0,10756,21,3,6,50,19,15
1792,Jet Airways,Kolkata,Banglore,1685,1.0,14151,21,5,17,0,21,5
1793,Jet Airways,Kolkata,Banglore,740,1.0,9899,12,6,8,25,20,45
1794,Jet Airways,Delhi,Cochin,385,1.0,12242,21,3,22,0,4,25
1795,Jet Airways,Delhi,Cochin,1025,2.0,10368,9,6,19,30,12,35
1796,IndiGo,Mumbai,Hyderabad,90,0.0,5755,24,5,9,10,10,40
1797,Jet Airways,Delhi,Cochin,610,1.0,10262,15,6,18,15,4,25
1798,SpiceJet,Kolkata,Banglore,520,1.0,6643,6,6,8,35,17,15
1799,Multiple carriers Premium economy,Delhi,Cochin,810,1.0,9845,21,3,7,30,21,0
1800,Jet Airways,Kolkata,Banglore,1025,1.0,11134,24,3,18,55,12,0
1801,SpiceJet,Delhi,Cochin,315,1.0,5583,1,6,6,5,11,20
1802,IndiGo,Delhi,Cochin,300,1.0,6069,15,5,16,0,21,0
1803,Jet Airways,Banglore,New Delhi,875,1.0,13817,12,3,5,45,20,20
1804,Air India,Delhi,Cochin,2295,2.0,10283,6,3,5,0,19,15
1805,Air India,Kolkata,Banglore,675,1.0,7795,24,3,9,50,21,5
1806,Multiple carriers,Delhi,Cochin,440,1.0,13977,9,3,0,20,7,40
1807,Jet Airways,Delhi,Cochin,1300,2.0,10919,1,6,6,45,4,25
1808,IndiGo,Kolkata,Banglore,160,0.0,6038,3,3,20,25,23,5
1809,IndiGo,Delhi,Cochin,195,0.0,5601,21,5,5,35,8,50
1810,IndiGo,Delhi,Cochin,810,1.0,12351,9,3,7,30,21,0
1811,Air India,Delhi,Cochin,170,0.0,6094,15,4,5,10,8,0
1812,Multiple carriers,Delhi,Cochin,520,1.0,7575,15,5,10,35,19,15
1813,Jet Airways,Delhi,Cochin,395,1.0,16079,27,5,21,50,4,25
1814,Jet Airways,Delhi,Cochin,1425,1.0,10262,15,6,19,15,19,0
1815,Air Asia,Delhi,Cochin,340,1.0,13470,9,6,16,45,22,25
1816,Jet Airways,Banglore,Delhi,175,0.0,8016,27,6,11,10,14,5
1817,Jet Airways,Delhi,Cochin,1475,1.0,16289,9,3,18,15,18,50
1818,Jet Airways,Delhi,Cochin,520,1.0,10262,6,6,19,45,4,25
1819,IndiGo,Banglore,Delhi,175,0.0,4823,27,6,18,25,21,20
1820,Vistara,Banglore,Delhi,170,0.0,5403,9,4,9,45,12,35
1821,Jet Airways,Delhi,Cochin,1530,1.0,12373,18,5,17,30,19,0
1822,SpiceJet,Mumbai,Hyderabad,495,1.0,13552,6,3,14,10,22,25
1823,Jet Airways,Kolkata,Banglore,740,1.0,10844,9,5,8,25,20,45
1824,Air India,Mumbai,Hyderabad,845,2.0,22619,6,3,9,40,23,45
1825,Multiple carriers,Delhi,Cochin,520,1.0,8625,27,5,10,35,19,15
1826,IndiGo,Banglore,New Delhi,165,0.0,4777,24,3,6,0,8,45
1827,IndiGo,Delhi,Cochin,195,0.0,5000,21,6,5,35,8,50
1828,Jet Airways,Delhi,Cochin,1475,2.0,21954,6,3,19,10,19,45
1829,Jet Airways,Delhi,Cochin,1015,1.0,11627,3,6,11,30,4,25
1830,Jet Airways,Kolkata,Banglore,875,1.0,13731,24,5,14,5,4,40
1831,IndiGo,Banglore,Delhi,170,0.0,3943,3,4,22,10,1,0
1832,Jet Airways,Banglore,New Delhi,845,1.0,6992,21,3,8,55,23,0
1833,Jet Airways,Kolkata,Banglore,585,1.0,13941,6,5,18,55,4,40
1834,Jet Airways,Delhi,Cochin,660,1.0,14924,12,6,8,0,19,0
1835,Jet Airways,Delhi,Cochin,620,1.0,18371,27,6,2,15,12,35
1836,IndiGo,Chennai,Kolkata,140,0.0,7295,3,3,19,35,21,55
1837,Air India,Banglore,New Delhi,1420,1.0,9292,9,3,17,0,16,40
1838,Jet Airways,Kolkata,Banglore,735,1.0,13941,1,5,20,0,8,15
1839,IndiGo,Kolkata,Banglore,335,1.0,4150,24,3,4,15,9,50
1840,Jet Airways,Kolkata,Banglore,1655,1.0,12681,1,4,20,0,23,35
1841,IndiGo,Delhi,Cochin,195,0.0,5601,3,6,5,35,8,50
1842,Air India,Kolkata,Banglore,1385,2.0,14960,21,5,9,50,8,55
1843,Multiple carriers,Delhi,Cochin,570,1.0,13377,6,6,16,0,1,30
1844,IndiGo,Mumbai,Hyderabad,85,0.0,3342,21,3,12,0,13,25
1845,Jet Airways,Banglore,Delhi,175,0.0,8016,6,6,11,10,14,5
1846,Jet Airways,Banglore,New Delhi,1035,1.0,16736,6,3,5,45,23,0
1847,Jet Airways,Kolkata,Banglore,1350,1.0,10031,24,3,21,10,19,40
1848,Air India,Delhi,Cochin,705,1.0,7258,21,4,20,30,8,15
1849,Jet Airways,Banglore,Delhi,165,0.0,4030,15,5,6,0,8,45
1850,Air India,Delhi,Cochin,1730,2.0,13381,24,6,14,25,19,15
1851,Jet Airways,Delhi,Cochin,1760,2.0,16704,24,5,23,5,4,25
1852,Multiple carriers,Delhi,Cochin,720,1.0,13587,24,6,9,0,21,0
1853,Jet Airways,Mumbai,Hyderabad,85,0.0,5678,24,5,2,55,4,20
1854,Jet Airways,Kolkata,Banglore,1610,1.0,7064,1,4,6,30,9,20
1855,IndiGo,Mumbai,Hyderabad,90,0.0,2754,3,6,1,40,3,10
1856,Vistara,Banglore,Delhi,170,0.0,4668,1,5,9,45,12,35
1857,Air Asia,Kolkata,Banglore,150,0.0,4107,21,6,19,55,22,25
1858,IndiGo,Delhi,Cochin,965,1.0,5894,12,6,4,55,21,0
1859,Jet Airways,Delhi,Cochin,655,1.0,10262,6,6,17,30,4,25
1860,Jet Airways,Kolkata,Banglore,945,1.0,13941,9,5,16,30,8,15
1861,Air Asia,Delhi,Cochin,865,1.0,6451,27,4,16,45,7,10
1862,Air India,Delhi,Cochin,1420,2.0,10975,27,6,9,45,9,25
1863,Air India,Delhi,Cochin,1180,2.0,14746,6,3,12,0,7,40
1864,Air Asia,Delhi,Cochin,625,1.0,11410,6,6,20,45,7,10
1865,SpiceJet,Kolkata,Banglore,155,0.0,3841,1,5,6,55,9,30
1866,Air India,Delhi,Cochin,1490,2.0,13381,3,6,6,50,7,40
1867,Multiple carriers,Delhi,Cochin,840,1.0,15078,9,5,11,30,1,30
1868,Air India,Kolkata,Banglore,545,1.0,8891,9,5,9,25,18,30
1869,Jet Airways,Kolkata,Banglore,1200,1.0,7757,9,5,14,5,10,5
1870,Air India,Banglore,Delhi,180,0.0,4441,9,4,5,45,8,45
1871,Jet Airways,Kolkata,Banglore,1345,1.0,10031,24,3,19,45,18,10
1872,IndiGo,Banglore,Delhi,170,0.0,4823,12,4,13,0,15,50
1873,Air India,Kolkata,Banglore,545,1.0,8576,24,5,9,25,18,30
1874,Jet Airways,Banglore,New Delhi,1175,1.0,11087,12,3,20,35,16,10
1875,Jet Airways,Delhi,Cochin,1595,1.0,12373,18,5,10,0,12,35
1876,Air India,Kolkata,Banglore,1210,2.0,11432,21,5,9,25,5,35
1877,IndiGo,Mumbai,Hyderabad,90,0.0,3175,15,6,16,55,18,25
1878,IndiGo,Kolkata,Banglore,165,0.0,4804,12,5,9,35,12,20
1879,Jet Airways,Delhi,Cochin,1615,2.0,13014,27,6,9,40,12,35
1880,Multiple carriers,Delhi,Cochin,910,1.0,7563,6,3,7,10,22,20
1881,SpiceJet,Kolkata,Banglore,145,0.0,3873,27,6,9,0,11,25
1882,IndiGo,Delhi,Cochin,780,1.0,6282,21,5,11,55,0,55
1883,Multiple carriers,Delhi,Cochin,630,1.0,11200,1,6,8,30,19,0
1884,Vistara,Banglore,Delhi,165,0.0,5613,24,4,19,30,22,15
1885,IndiGo,Delhi,Cochin,195,0.0,5601,9,6,14,20,17,35
1886,Jet Airways,Delhi,Cochin,1355,1.0,10262,15,6,14,0,12,35
1887,IndiGo,Banglore,New Delhi,175,0.0,14306,1,3,20,0,22,55
1888,Jet Airways,Kolkata,Banglore,1485,1.0,7064,1,4,20,0,20,45
1889,Jet Airways,Delhi,Cochin,715,1.0,18371,27,6,7,5,19,0
1890,Air India,Delhi,Cochin,1380,2.0,13591,18,5,20,15,19,15
1891,Jet Airways,Delhi,Cochin,1615,2.0,10368,1,6,9,40,12,35
1892,Multiple carriers,Delhi,Cochin,460,2.0,18275,12,6,17,50,1,30
1893,IndiGo,Banglore,Delhi,170,0.0,3749,27,5,22,10,1,0
1894,Air Asia,Kolkata,Banglore,500,2.0,6810,6,6,15,10,23,30
1895,Multiple carriers,Delhi,Cochin,560,1.0,7485,21,5,11,40,21,0
1896,Air India,Kolkata,Banglore,150,0.0,5510,27,5,14,15,16,45
1897,Jet Airways,Delhi,Cochin,610,1.0,10262,3,6,18,15,4,25
1898,Multiple carriers,Delhi,Cochin,540,1.0,6723,24,6,7,10,16,10
1899,Multiple carriers,Delhi,Cochin,450,1.0,8307,21,3,8,0,15,30
1900,GoAir,Delhi,Cochin,460,1.0,6146,21,4,5,55,13,35
1901,Jet Airways,Delhi,Cochin,1390,2.0,15129,27,5,13,25,12,35
1902,Jet Airways,Kolkata,Banglore,330,1.0,14388,1,5,6,30,12,0
1903,Jet Airways,Banglore,Delhi,165,0.0,4544,6,4,6,0,8,45
1904,Jet Airways,Banglore,Delhi,175,0.0,5198,12,4,11,10,14,5
1905,IndiGo,Delhi,Cochin,975,1.0,7503,18,5,9,15,1,30
1906,GoAir,Banglore,New Delhi,270,1.0,12314,1,3,15,45,20,15
1907,Air India,Delhi,Cochin,375,1.0,8372,15,5,13,0,19,15
1908,Jet Airways,Kolkata,Banglore,425,1.0,14781,21,5,16,30,23,35
1909,Jet Airways,Banglore,Delhi,180,0.0,8016,24,6,19,50,22,50
1910,IndiGo,Chennai,Kolkata,140,0.0,6297,12,3,7,55,10,15
1911,Jet Airways,Kolkata,Banglore,1495,1.0,14388,1,5,8,25,9,20
1912,GoAir,Delhi,Cochin,370,1.0,6393,1,6,7,25,13,35
1913,Jet Airways,Kolkata,Banglore,775,1.0,14939,9,6,21,10,10,5
1914,Jet Airways,Kolkata,Banglore,685,1.0,14781,21,5,8,25,19,50
1915,IndiGo,Delhi,Cochin,810,1.0,14871,6,3,7,30,21,0
1916,SpiceJet,Banglore,Delhi,170,0.0,4319,6,4,9,30,12,20
1917,Jet Airways,Kolkata,Banglore,1005,1.0,13067,15,5,17,0,9,45
1918,Jet Airways,Banglore,New Delhi,920,1.0,26890,1,3,16,55,8,15
1919,Jet Airways,Banglore,New Delhi,375,1.0,9134,15,3,7,0,13,15
1920,IndiGo,Banglore,Delhi,180,0.0,3943,3,4,21,15,0,15
1921,Air India,Delhi,Cochin,735,1.0,8879,24,6,7,0,19,15
1922,Jet Airways,Kolkata,Banglore,1025,1.0,14571,24,5,18,55,12,0
1923,IndiGo,Kolkata,Banglore,155,0.0,5644,15,6,9,35,12,10
1924,Jet Airways,Kolkata,Banglore,1330,1.0,9663,9,6,6,30,4,40
1925,Jet Airways,Kolkata,Banglore,570,1.0,14571,9,6,14,5,23,35
1926,SpiceJet,Banglore,Delhi,175,0.0,3971,9,6,21,10,0,5
1927,Jet Airways,Delhi,Cochin,590,1.0,17024,6,3,9,0,18,50
1928,SpiceJet,Kolkata,Banglore,150,0.0,3841,15,5,17,10,19,40
1929,Jet Airways,Delhi,Cochin,1395,1.0,12898,27,5,19,45,19,0
1930,Jet Airways,Delhi,Cochin,830,2.0,13376,6,6,14,35,4,25
1931,Jet Airways,Delhi,Cochin,910,2.0,9905,15,6,21,25,12,35
1932,Multiple carriers,Delhi,Cochin,780,1.0,13587,15,6,8,0,21,0
1933,Multiple carriers,Delhi,Cochin,900,1.0,7740,24,6,6,0,21,0
1934,Multiple carriers,Delhi,Cochin,395,1.0,9794,21,5,6,0,12,35
1935,Jet Airways,Banglore,New Delhi,1350,1.0,17471,6,3,22,50,21,20
1936,Jet Airways,Delhi,Cochin,880,2.0,15129,9,3,13,45,4,25
1937,Jet Airways,Kolkata,Banglore,1730,1.0,11467,1,5,9,35,14,25
1938,Air India,Kolkata,Banglore,1440,1.0,6528,12,6,14,35,14,35
1939,Multiple carriers,Delhi,Cochin,705,1.0,8266,27,6,7,30,19,15
1940,IndiGo,Delhi,Cochin,940,1.0,6442,6,3,6,40,22,20
1941,Jet Airways,Delhi,Cochin,825,1.0,10262,12,6,22,50,12,35
1942,Jet Airways,Mumbai,Hyderabad,85,0.0,17501,1,3,7,10,8,35
1943,Air India,Banglore,Delhi,165,0.0,8273,24,5,6,10,8,55
1944,Air India,Delhi,Cochin,1485,2.0,10703,21,3,18,30,19,15
1945,Multiple carriers,Delhi,Cochin,930,1.0,8510,15,6,10,0,1,30
1946,IndiGo,Mumbai,Hyderabad,90,0.0,2754,15,3,20,5,21,35
1947,IndiGo,Mumbai,Hyderabad,90,0.0,2227,18,5,21,20,22,50
1948,Multiple carriers,Delhi,Cochin,460,2.0,18275,27,6,17,50,1,30
1949,SpiceJet,Delhi,Cochin,270,1.0,6356,21,4,8,45,13,15
1950,Jet Airways,Kolkata,Banglore,400,1.0,14781,15,5,14,5,20,45
1951,Jet Airways,Delhi,Cochin,1615,2.0,13029,27,5,9,40,12,35
1952,GoAir,Banglore,Delhi,170,0.0,4340,1,5,11,40,14,30
1953,Air India,Kolkata,Banglore,1215,2.0,12224,12,6,17,30,13,45
1954,Jet Airways,Kolkata,Banglore,1545,1.0,10844,24,5,16,30,18,15
1955,IndiGo,Kolkata,Banglore,165,0.0,4174,15,4,9,35,12,20
1956,Air India,Banglore,New Delhi,1795,2.0,14887,1,3,17,0,22,55
1957,Multiple carriers,Delhi,Cochin,615,1.0,12853,9,4,9,0,19,15
1958,Air Asia,Banglore,Delhi,165,0.0,3383,15,5,11,10,13,55
1959,GoAir,Banglore,New Delhi,175,0.0,11111,1,3,11,40,14,35
1960,Jet Airways,Banglore,Delhi,180,0.0,7229,1,4,17,45,20,45
1961,Jet Airways,Banglore,Delhi,180,0.0,4030,6,5,17,45,20,45
1962,IndiGo,Delhi,Cochin,635,1.0,14871,3,3,15,0,1,35
1963,Jet Airways,Delhi,Cochin,520,1.0,12898,27,5,19,45,4,25
1964,Multiple carriers,Delhi,Cochin,465,1.0,14533,18,5,11,30,19,15
1965,Air India,Delhi,Cochin,875,1.0,7258,6,6,17,40,8,15
1966,SpiceJet,Delhi,Cochin,270,1.0,4812,1,4,8,45,13,15
1967,Jet Airways,Kolkata,Banglore,690,1.0,12384,9,5,9,35,21,5
1968,Air India,Delhi,Cochin,1180,2.0,8603,6,6,12,0,7,40
1969,Air India,Delhi,Cochin,435,2.0,8603,6,6,12,0,19,15
1970,Jet Airways,Kolkata,Banglore,570,1.0,14231,24,3,13,55,23,25
1971,Jet Airways,Delhi,Cochin,1760,2.0,15129,9,5,23,5,4,25
1972,Air Asia,Delhi,Cochin,625,1.0,11410,1,6,20,45,7,10
1973,Air India,Banglore,New Delhi,1475,2.0,12725,12,3,8,50,9,25
1974,Jet Airways,Delhi,Cochin,1620,2.0,13292,9,6,9,35,12,35
1975,SpiceJet,Kolkata,Banglore,155,0.0,3873,24,4,6,55,9,30
1976,IndiGo,Chennai,Kolkata,140,0.0,3850,15,6,7,55,10,15
1977,SpiceJet,Kolkata,Banglore,435,1.0,8479,9,6,11,35,18,50
1978,Jet Airways,Kolkata,Banglore,840,1.0,14151,24,5,9,35,23,35
1979,Air India,Banglore,Delhi,165,0.0,5228,24,4,6,10,8,55
1980,Vistara,Kolkata,Banglore,1555,1.0,9397,9,6,7,10,9,5
1981,Jet Airways,Mumbai,Hyderabad,85,0.0,4995,18,6,7,5,8,30
1982,Air India,Delhi,Cochin,1410,2.0,10651,1,6,19,45,19,15
1983,Air Asia,Banglore,Delhi,170,0.0,4282,3,4,4,55,7,45
1984,Air India,Kolkata,Banglore,810,2.0,10697,21,5,8,20,21,50
1985,Jet Airways,Kolkata,Banglore,1730,1.0,9314,21,5,9,35,14,25
1986,IndiGo,Chennai,Kolkata,145,0.0,3540,27,6,5,15,7,40
1987,Air India,Delhi,Cochin,1595,2.0,9443,12,6,16,40,19,15
1988,Multiple carriers,Delhi,Cochin,480,1.0,15147,6,3,7,30,15,30
1989,Jet Airways,Banglore,Delhi,180,0.0,8016,27,6,8,20,11,20
1990,IndiGo,Mumbai,Hyderabad,90,0.0,2437,24,5,21,20,22,50
1991,IndiGo,Delhi,Cochin,895,1.0,6104,27,5,10,35,1,30
1992,SpiceJet,Mumbai,Hyderabad,90,0.0,1965,6,6,22,45,0,15
1993,Multiple carriers,Delhi,Cochin,480,1.0,7408,12,6,13,0,21,0
1994,IndiGo,Mumbai,Hyderabad,90,0.0,4049,18,6,6,25,7,55
1995,Jet Airways,Banglore,Delhi,180,0.0,8016,1,6,19,50,22,50
1996,Multiple carriers,Delhi,Cochin,720,1.0,10197,9,5,7,0,19,0
1997,Jet Airways,Kolkata,Banglore,665,1.0,10844,1,5,21,10,8,15
1998,Jet Airways,Kolkata,Banglore,1570,1.0,12692,9,6,17,0,19,10
1999,Jet Airways,Kolkata,Banglore,475,1.0,14781,6,5,8,25,16,20
2000,GoAir,Kolkata,Banglore,495,1.0,7335,24,5,23,30,7,45
2001,Jet Airways,Banglore,Delhi,180,0.0,7229,27,5,8,20,11,20
2002,Vistara,Banglore,New Delhi,175,0.0,4353,24,3,21,10,0,5
2003,Jet Airways,Kolkata,Banglore,735,1.0,13941,18,5,20,0,8,15
2004,Jet Airways,Banglore,New Delhi,280,1.0,12295,12,3,9,45,14,25
2005,Jet Airways,Delhi,Cochin,825,1.0,12898,27,5,22,50,12,35
2006,Vistara,Kolkata,Banglore,930,1.0,7927,9,5,7,10,22,40
2007,Air Asia,Banglore,Delhi,170,0.0,4483,15,4,23,55,2,45
2008,Jet Airways,Banglore,New Delhi,405,1.0,19225,6,3,11,40,18,25
2009,GoAir,Delhi,Cochin,370,1.0,4692,24,4,7,25,13,35
2010,Jet Airways,Banglore,New Delhi,725,1.0,13555,18,3,21,25,9,30
2011,IndiGo,Delhi,Cochin,630,1.0,6270,9,4,15,0,1,30
2012,Jet Airways,Kolkata,Banglore,1285,1.0,13584,6,5,18,55,16,20
2013,Jet Airways,Delhi,Cochin,1600,2.0,13180,21,3,16,10,18,50
2014,Jet Airways,Kolkata,Banglore,1295,1.0,14151,12,5,20,25,18,0
2015,Vistara,Delhi,Cochin,190,0.0,6216,12,5,6,0,9,10
2016,Multiple carriers,Delhi,Cochin,680,1.0,15135,3,3,7,30,18,50
2017,Multiple carriers,Delhi,Cochin,570,1.0,15136,6,3,11,30,21,0
2018,Jet Airways,Delhi,Cochin,1005,1.0,10262,27,6,2,15,19,0
2019,Jet Airways,Kolkata,Banglore,750,1.0,12384,18,5,9,35,22,5
2020,Jet Airways,Kolkata,Banglore,575,1.0,9314,1,4,9,35,19,10
2021,Jet Airways,Kolkata,Banglore,1500,1.0,9314,6,5,17,0,18,0
2022,Air India,Delhi,Cochin,615,1.0,10454,1,6,9,0,19,15
2023,Air India,Delhi,Cochin,520,1.0,8372,18,5,23,0,7,40
2024,Jet Airways,Delhi,Cochin,520,1.0,11848,9,3,19,45,4,25
2025,IndiGo,Delhi,Cochin,750,1.0,6416,1,6,8,30,21,0
2026,IndiGo,Mumbai,Hyderabad,90,0.0,3342,1,4,9,10,10,40
2027,Jet Airways,Kolkata,Banglore,1495,2.0,10118,6,6,6,30,7,25
2028,Air India,Kolkata,Banglore,1185,2.0,14960,12,6,16,45,12,30
2029,IndiGo,Delhi,Cochin,665,1.0,6818,15,6,5,5,16,10
2030,Air India,Kolkata,Banglore,150,0.0,5510,12,6,14,15,16,45
2031,Jet Airways,Kolkata,Banglore,1610,1.0,14388,21,5,6,30,9,20
2032,Multiple carriers,Delhi,Cochin,455,1.0,7038,3,6,14,55,22,30
2033,Multiple carriers,Delhi,Cochin,630,1.0,8266,9,5,8,45,19,15
2034,Jet Airways,Delhi,Cochin,1480,2.0,14300,27,6,18,20,19,0
2035,Air India,Kolkata,Banglore,1350,1.0,8366,9,5,9,25,7,55
2036,Jet Airways,Banglore,New Delhi,695,1.0,17261,6,3,22,50,10,25
2037,Vistara,Kolkata,Banglore,1555,1.0,8452,6,6,7,10,9,5
2038,IndiGo,Kolkata,Banglore,320,1.0,8567,1,4,15,10,20,30
2039,Multiple carriers,Delhi,Cochin,925,1.0,9646,15,6,7,5,22,30
2040,Air India,Delhi,Cochin,1275,2.0,8341,9,4,22,0,19,15
2041,Jet Airways,Delhi,Cochin,1530,1.0,12373,9,5,17,30,19,0
2042,SpiceJet,Chennai,Kolkata,140,0.0,3543,21,6,17,45,20,5
